INSERT INTO oceny (user_id, temat, przedmiot, wartosc, data_wystawienia) VALUES('101', 'Kartkówka', 'Język Francuski', '3', '2016-09-14 08:10:19'), 
('101', 'Praca dodatkowa', 'Język Angielski', '1', '2016-12-20 20:50:14'), 
('113', 'Aktywność na lekcji', 'Wychowanie Fizyczne', '1', '2016-11-18 10:17:16'), 
('113', 'Odpowiedź ustna', 'Biologia', '4', '2017-01-11 12:00:36'), 
('113', 'Kartkówka', 'Informatyka', '2', '2016-12-05 02:21:24'), 
('113', 'Praca dodatkowa', 'Wychowanie do Życia w Rodzinie', '3', '2016-09-21 16:01:59'), 
('113', 'Aktywność na lekcji', 'Wychowanie do Życia w Rodzinie', '6', '2016-10-18 14:31:46'), 
('113', 'Zachowanie', 'Informatyka', '1', '2016-09-28 13:47:46'), 
('113', 'Zachowanie', 'Język Francuski', '2', '2016-12-25 09:43:17'), 
('113', 'Praca dodatkowa', 'Matematyka', '1', '2016-12-04 05:04:55'), 
('113', 'Zachowanie', 'Język Angielski', '3', '2016-12-29 16:40:21'), 
('113', 'Projekt', 'Religia', '2', '2016-12-27 15:00:32'), 
('113', 'Egzamin', 'Język Hiszpański', '3', '2016-12-20 15:26:06'), 
('113', 'Odpowiedź ustna', 'Język Rosyjski', '5', '2016-10-06 14:18:29'), 
('113', 'Odpowiedź ustna', 'Religia', '3', '2016-12-17 05:57:57'), 
('113', 'Odpowiedź ustna', 'Informatyka', '2', '2016-11-03 19:04:23'), 
('113', 'Sprawdzian', 'Język Rosyjski', '5', '2017-01-01 03:00:49'), 
('113', 'Sprawdzian', 'Muzyka', '4', '2017-01-27 08:55:03'), 
('114', 'Praca dodatkowa', 'Wychowanie Fizyczne', '3', '2016-12-26 18:21:18'), 
('114', 'Praca dodatkowa', 'Muzyka', '2', '2017-01-21 08:35:28'), 
('114', 'Zachowanie', 'Technika', '2', '2017-01-19 13:36:38'), 
('114', 'Aktywność na lekcji', 'Zajęcia Artystyczne', '4', '2016-11-07 03:52:22'), 
('114', 'Odpowiedź ustna', 'Wychowanie Fizyczne', '1', '2016-12-23 23:46:42'), 
('114', 'Sprawdzian', 'Chemia', '4', '2016-09-21 19:57:09'), 
('114', 'Praca dodatkowa', 'Godzina Wychowawcza', '6', '2016-09-15 14:40:29'), 
('114', 'Aktywność na lekcji', 'Język Rosyjski', '4', '2016-11-01 04:10:04'), 
('114', 'Egzamin', 'Matematyka', '1', '2016-12-25 18:42:01'), 
('114', 'Odpowiedź ustna', 'Plastyka', '4', '2017-02-01 05:47:21'), 
('114', 'Egzamin', 'Wychowanie do Życia w Rodzinie', '1', '2016-11-30 08:07:33'), 
('114', 'Praca dodatkowa', 'Chemia', '3', '2016-11-04 19:35:55'), 
('114', 'Zachowanie', 'Fizyka', '5', '2017-01-21 08:56:48'), 
('114', 'Kartkówka', 'Fizyka', '5', '2016-09-29 13:01:58'), 
('114', 'Praca dodatkowa', 'Język Angielski', '3', '2017-01-10 16:28:30'), 
('114', 'Zachowanie', 'Język Hiszpański', '3', '2016-10-25 05:12:49'), 
('114', 'Zachowanie', 'Język Francuski', '5', '2016-09-10 05:25:25'), 
('114', 'Odpowiedź ustna', 'Język Angielski', '6', '2017-02-03 06:08:15'), 
('114', 'Odpowiedź ustna', 'Język Francuski', '6', '2016-09-20 21:06:39'), 
('114', 'Egzamin', 'Fizyka', '3', '2016-09-30 11:23:10'), 
('114', 'Sprawdzian', 'Język Włoski', '3', '2016-09-18 05:25:09'), 
('114', 'Egzamin', 'Geografia', '6', '2017-02-02 06:46:09'), 
('114', 'Sprawdzian', 'Język Angielski', '3', '2016-11-29 18:21:35'), 
('114', 'Odpowiedź ustna', 'Technika', '5', '2017-01-01 18:24:56'), 
('114', 'Egzamin', 'Chemia', '5', '2016-12-31 19:18:11'), 
('114', 'Zachowanie', 'Plastyka', '2', '2016-10-13 23:28:08'), 
('114', 'Sprawdzian', 'Język Hiszpański', '1', '2017-01-08 01:28:39'), 
('114', 'Zachowanie', 'Chemia', '2', '2016-11-08 22:55:40'), 
('114', 'Egzamin', 'Chemia', '4', '2016-11-08 15:21:54'), 
('115', 'Odpowiedź ustna', 'Język Angielski', '2', '2016-11-28 05:46:27'), 
('115', 'Sprawdzian', 'Język Francuski', '5', '2016-11-23 01:41:05'), 
('115', 'Praca dodatkowa', 'Geografia', '2', '2017-02-01 14:00:55'), 
('115', 'Odpowiedź ustna', 'Informatyka', '5', '2016-10-26 11:28:58'), 
('115', 'Projekt', 'Godzina Wychowawcza', '5', '2016-11-16 12:28:42'), 
('115', 'Kartkówka', 'Religia', '5', '2017-01-21 12:49:24'), 
('115', 'Odpowiedź ustna', 'Chemia', '3', '2016-09-16 16:21:14'), 
('115', 'Odpowiedź ustna', 'Informatyka', '2', '2016-10-23 02:14:02'), 
('115', 'Aktywność na lekcji', 'Zajęcia Artystyczne', '4', '2016-11-08 01:17:22'), 
('115', 'Kartkówka', 'Wiedza o Społeczeństwie', '2', '2017-01-31 13:03:30'), 
('115', 'Odpowiedź ustna', 'Wychowanie Fizyczne', '3', '2017-01-15 05:57:44'), 
('115', 'Kartkówka', 'Język Włoski', '4', '2016-09-23 02:52:04'), 
('115', 'Odpowiedź ustna', 'Biologia', '2', '2017-01-30 11:38:11'), 
('115', 'Egzamin', 'Plastyka', '6', '2016-09-18 01:14:35'), 
('115', 'Kartkówka', 'Język Włoski', '1', '2016-11-30 02:40:40'), 
('115', 'Odpowiedź ustna', 'Godzina Wychowawcza', '1', '2016-11-30 04:12:22'), 
('115', 'Odpowiedź ustna', 'Wiedza o Społeczeństwie', '2', '2016-10-22 02:04:42'), 
('115', 'Praca dodatkowa', 'Godzina Wychowawcza', '1', '2016-11-17 08:29:34'), 
('115', 'Sprawdzian', 'Plastyka', '5', '2016-11-23 06:53:51'), 
('115', 'Projekt', 'Język Polski', '6', '2016-12-09 20:49:52'), 
('115', 'Odpowiedź ustna', 'Wiedza o Społeczeństwie', '6', '2016-09-12 21:41:05'), 
('115', 'Odpowiedź ustna', 'Informatyka', '6', '2016-10-23 08:05:12'), 
('116', 'Odpowiedź ustna', 'Informatyka', '1', '2016-11-27 03:42:49'), 
('116', 'Egzamin', 'Język Angielski', '3', '2016-10-03 12:47:57'), 
('116', 'Projekt', 'Religia', '1', '2017-01-28 14:08:12'), 
('116', 'Praca dodatkowa', 'Fizyka', '6', '2017-01-19 11:46:05'), 
('116', 'Kartkówka', 'Język Polski', '3', '2017-01-21 19:34:45'), 
('116', 'Sprawdzian', 'Plastyka', '5', '2016-10-04 01:47:36'), 
('116', 'Projekt', 'Matematyka', '3', '2016-12-15 17:21:26'), 
('116', 'Odpowiedź ustna', 'Wychowanie do Życia w Rodzinie', '1', '2017-01-11 07:58:44'), 
('116', 'Sprawdzian', 'Język Hiszpański', '1', '2016-12-03 22:27:11'), 
('116', 'Zachowanie', 'Język Francuski', '4', '2017-01-08 13:22:27'), 
('116', 'Aktywność na lekcji', 'Język Włoski', '5', '2016-09-16 11:23:53'), 
('116', 'Kartkówka', 'Muzyka', '1', '2017-01-14 00:01:15'), 
('116', 'Odpowiedź ustna', 'Chemia', '3', '2016-10-16 14:51:14'), 
('116', 'Projekt', 'Wiedza o Społeczeństwie', '5', '2017-01-28 20:36:52'), 
('116', 'Kartkówka', 'Muzyka', '1', '2016-10-31 17:37:41'), 
('116', 'Odpowiedź ustna', 'Chemia', '4', '2016-11-08 16:47:12'), 
('116', 'Egzamin', 'Chemia', '3', '2017-01-18 09:39:11'), 
('116', 'Praca dodatkowa', 'Chemia', '1', '2017-01-15 01:34:36'), 
('116', 'Odpowiedź ustna', 'Język Angielski', '2', '2017-01-05 13:01:27'), 
('116', 'Odpowiedź ustna', 'Język Angielski', '5', '2016-10-03 11:49:26'), 
('116', 'Sprawdzian', 'Religia', '5', '2017-01-25 18:16:10'), 
('117', 'Kartkówka', 'Wiedza o Społeczeństwie', '2', '2016-09-27 01:53:22'), 
('117', 'Aktywność na lekcji', 'Język Rosyjski', '3', '2016-12-21 08:30:34'), 
('117', 'Praca dodatkowa', 'Chemia', '2', '2017-01-28 10:13:38'), 
('117', 'Aktywność na lekcji', 'Język Francuski', '6', '2017-01-16 13:11:49'), 
('117', 'Egzamin', 'Muzyka', '4', '2016-12-14 06:47:27'), 
('117', 'Zachowanie', 'Wiedza o Społeczeństwie', '2', '2017-02-03 11:15:57'), 
('117', 'Aktywność na lekcji', 'Język Angielski', '5', '2016-10-12 16:34:18'), 
('117', 'Aktywność na lekcji', 'Muzyka', '5', '2016-12-11 18:28:58'), 
('117', 'Kartkówka', 'Język Polski', '3', '2016-10-24 18:19:29'), 
('117', 'Odpowiedź ustna', 'Biologia', '4', '2016-11-18 15:07:01'), 
('117', 'Kartkówka', 'Geografia', '5', '2016-12-31 02:31:38'), 
('117', 'Sprawdzian', 'Język Włoski', '3', '2017-01-29 04:45:57'), 
('117', 'Aktywność na lekcji', 'Biologia', '2', '2017-01-14 15:43:59'), 
('117', 'Kartkówka', 'Wychowanie Fizyczne', '3', '2016-09-18 10:27:31'), 
('117', 'Projekt', 'Język Rosyjski', '1', '2017-01-25 09:14:35'), 
('117', 'Kartkówka', 'Wychowanie do Życia w Rodzinie', '3', '2016-12-29 05:18:45'), 
('117', 'Zachowanie', 'Chemia', '1', '2016-10-15 18:31:33'), 
('117', 'Odpowiedź ustna', 'Wychowanie Fizyczne', '5', '2016-12-22 19:24:26'), 
('117', 'Odpowiedź ustna', 'Matematyka', '2', '2016-10-09 00:22:30'), 
('117', 'Praca dodatkowa', 'Muzyka', '1', '2017-01-16 09:51:10'), 
('117', 'Odpowiedź ustna', 'Język Polski', '3', '2017-01-10 15:33:10'), 
('117', 'Odpowiedź ustna', 'Fizyka', '6', '2016-11-03 11:55:34'), 
('117', 'Projekt', 'Wychowanie Fizyczne', '5', '2016-12-12 23:15:54'), 
('117', 'Sprawdzian', 'Fizyka', '4', '2017-01-07 19:38:52'), 
('117', 'Aktywność na lekcji', 'Plastyka', '3', '2016-09-11 08:05:28'), 
('117', 'Egzamin', 'Język Polski', '4', '2017-01-23 02:49:09'), 
('117', 'Zachowanie', 'Język Francuski', '6', '2016-11-16 20:24:21'), 
('118', 'Zachowanie', 'Matematyka', '6', '2017-01-05 18:14:37'), 
('118', 'Praca dodatkowa', 'Biologia', '4', '2016-12-08 20:26:55'), 
('118', 'Aktywność na lekcji', 'Zajęcia Artystyczne', '5', '2016-09-28 12:59:24'), 
('118', 'Odpowiedź ustna', 'Technika', '2', '2016-09-11 09:09:57'), 
('118', 'Odpowiedź ustna', 'Religia', '6', '2016-10-23 11:21:28'), 
('118', 'Projekt', 'Technika', '5', '2016-11-11 14:59:09'), 
('118', 'Zachowanie', 'Matematyka', '2', '2016-11-05 11:43:37'), 
('118', 'Odpowiedź ustna', 'Język Francuski', '3', '2016-11-27 21:31:46'), 
('118', 'Projekt', 'Technika', '2', '2016-11-03 07:43:49'), 
('118', 'Odpowiedź ustna', 'Wiedza o Społeczeństwie', '2', '2016-12-03 23:50:41'), 
('118', 'Praca dodatkowa', 'Język Angielski', '1', '2017-01-18 22:26:54'), 
('118', 'Odpowiedź ustna', 'Geografia', '5', '2016-11-17 21:07:43'), 
('118', 'Zachowanie', 'Matematyka', '6', '2016-12-24 21:21:58'), 
('118', 'Zachowanie', 'Fizyka', '4', '2017-01-05 14:44:39'), 
('118', 'Sprawdzian', 'Zajęcia Artystyczne', '1', '2016-11-01 00:06:11'), 
('118', 'Praca dodatkowa', 'Wiedza o Społeczeństwie', '2', '2016-10-09 06:35:55'), 
('118', 'Odpowiedź ustna', 'Matematyka', '1', '2016-09-15 14:34:55'), 
('118', 'Odpowiedź ustna', 'Zajęcia Artystyczne', '4', '2016-12-19 14:32:18'), 
('118', 'Sprawdzian', 'Plastyka', '3', '2016-12-02 19:10:58'), 
('118', 'Egzamin', 'Matematyka', '3', '2016-11-23 00:22:20'), 
('118', 'Aktywność na lekcji', 'Język Polski', '1', '2016-10-10 08:34:56'), 
('118', 'Sprawdzian', 'Chemia', '4', '2016-10-24 06:48:00'), 
('119', 'Projekt', 'Chemia', '2', '2016-09-11 14:35:19'), 
('119', 'Projekt', 'Język Francuski', '5', '2016-12-15 21:49:40'), 
('119', 'Kartkówka', 'Fizyka', '2', '2016-09-22 15:55:05'), 
('119', 'Praca dodatkowa', 'Język Rosyjski', '6', '2017-01-11 08:59:58'), 
('119', 'Egzamin', 'Zajęcia Artystyczne', '1', '2016-12-15 08:40:30'), 
('119', 'Kartkówka', 'Wiedza o Społeczeństwie', '4', '2016-10-20 22:21:35'), 
('119', 'Aktywność na lekcji', 'Informatyka', '4', '2016-10-11 02:56:17'), 
('119', 'Egzamin', 'Język Angielski', '5', '2016-11-22 01:22:19'), 
('119', 'Sprawdzian', 'Wychowanie do Życia w Rodzinie', '6', '2016-10-19 17:44:28'), 
('119', 'Praca dodatkowa', 'Technika', '6', '2016-12-21 06:54:24'), 
('119', 'Sprawdzian', 'Muzyka', '4', '2017-01-02 03:44:30'), 
('119', 'Sprawdzian', 'Wychowanie Fizyczne', '1', '2016-10-02 16:28:22'), 
('119', 'Sprawdzian', 'Wiedza o Społeczeństwie', '2', '2016-11-27 20:18:26'), 
('119', 'Kartkówka', 'Język Angielski', '6', '2016-12-20 10:53:02'), 
('119', 'Odpowiedź ustna', 'Wiedza o Społeczeństwie', '1', '2016-11-23 09:11:06'), 
('119', 'Odpowiedź ustna', 'Język Francuski', '5', '2016-12-31 01:33:51'), 
('119', 'Sprawdzian', 'Fizyka', '6', '2016-09-25 03:15:13'), 
('119', 'Zachowanie', 'Religia', '5', '2017-01-28 01:36:04'), 
('119', 'Projekt', 'Wiedza o Społeczeństwie', '6', '2016-09-25 17:56:57'), 
('119', 'Kartkówka', 'Informatyka', '5', '2016-11-18 20:26:01'), 
('119', 'Egzamin', 'Zajęcia Artystyczne', '3', '2016-10-06 13:58:15'), 
('119', 'Praca dodatkowa', 'Godzina Wychowawcza', '5', '2017-02-02 12:27:42'), 
('119', 'Odpowiedź ustna', 'Informatyka', '1', '2016-12-21 17:47:24'), 
('119', 'Kartkówka', 'Chemia', '5', '2016-11-11 12:54:16'), 
('120', 'Aktywność na lekcji', 'Muzyka', '5', '2016-12-15 16:58:53'), 
('120', 'Praca dodatkowa', 'Plastyka', '1', '2017-02-03 15:31:19'), 
('120', 'Sprawdzian', 'Język Polski', '6', '2016-09-06 22:04:10'), 
('120', 'Kartkówka', 'Zajęcia Artystyczne', '3', '2016-12-13 17:09:18'), 
('120', 'Praca dodatkowa', 'Geografia', '2', '2016-12-16 18:04:56'), 
('120', 'Zachowanie', 'Język Polski', '1', '2017-01-02 03:43:21'), 
('120', 'Odpowiedź ustna', 'Wychowanie Fizyczne', '5', '2016-11-09 20:53:32'), 
('120', 'Kartkówka', 'Język Hiszpański', '4', '2016-10-09 14:45:01'), 
('120', 'Sprawdzian', 'Informatyka', '1', '2016-09-14 02:51:59'), 
('120', 'Aktywność na lekcji', 'Geografia', '2', '2016-10-25 09:07:01'), 
('120', 'Aktywność na lekcji', 'Chemia', '2', '2016-12-10 03:17:21'), 
('120', 'Praca dodatkowa', 'Język Rosyjski', '1', '2016-10-20 03:06:57'), 
('120', 'Aktywność na lekcji', 'Biologia', '3', '2016-11-11 22:00:03'), 
('120', 'Praca dodatkowa', 'Religia', '5', '2016-10-08 21:22:38'), 
('120', 'Projekt', 'Muzyka', '5', '2016-10-27 03:38:44'), 
('120', 'Kartkówka', 'Język Francuski', '1', '2016-12-15 16:21:54'), 
('120', 'Odpowiedź ustna', 'Matematyka', '2', '2016-09-27 10:51:56'), 
('120', 'Kartkówka', 'Język Włoski', '3', '2016-11-14 21:12:54'), 
('120', 'Egzamin', 'Informatyka', '1', '2016-10-22 16:25:10'), 
('120', 'Egzamin', 'Geografia', '4', '2016-12-09 16:47:31'), 
('120', 'Odpowiedź ustna', 'Wychowanie Fizyczne', '1', '2016-11-13 06:51:17'), 
('120', 'Praca dodatkowa', 'Biologia', '2', '2017-01-14 06:08:47'), 
('120', 'Zachowanie', 'Technika', '5', '2016-10-25 13:40:43'), 
('120', 'Sprawdzian', 'Matematyka', '4', '2017-01-14 17:07:55'), 
('120', 'Odpowiedź ustna', 'Język Francuski', '4', '2016-12-11 13:18:34'), 
('121', 'Sprawdzian', 'Biologia', '1', '2016-12-06 04:50:33'), 
('121', 'Odpowiedź ustna', 'Język Angielski', '1', '2016-10-09 13:51:38'), 
('121', 'Kartkówka', 'Język Włoski', '6', '2017-01-21 19:17:41'), 
('121', 'Aktywność na lekcji', 'Wiedza o Społeczeństwie', '3', '2016-11-07 10:06:11'), 
('121', 'Zachowanie', 'Plastyka', '6', '2016-11-13 08:39:21'), 
('121', 'Projekt', 'Język Polski', '1', '2016-12-10 05:22:31'), 
('121', 'Praca dodatkowa', 'Religia', '4', '2016-09-12 19:06:13'), 
('121', 'Kartkówka', 'Język Angielski', '6', '2017-01-02 12:27:15'), 
('121', 'Zachowanie', 'Język Angielski', '5', '2016-10-22 09:21:19'), 
('121', 'Odpowiedź ustna', 'Muzyka', '1', '2016-09-17 17:35:09'), 
('121', 'Projekt', 'Język Angielski', '5', '2016-11-24 08:05:18'), 
('121', 'Projekt', 'Chemia', '2', '2016-09-15 17:14:50'), 
('121', 'Aktywność na lekcji', 'Wychowanie do Życia w Rodzinie', '5', '2017-01-25 10:44:05'), 
('121', 'Egzamin', 'Język Włoski', '2', '2016-12-19 12:01:18'), 
('121', 'Projekt', 'Język Angielski', '6', '2016-12-18 07:12:33'), 
('121', 'Sprawdzian', 'Wychowanie Fizyczne', '2', '2016-09-30 15:03:35'), 
('121', 'Aktywność na lekcji', 'Język Polski', '5', '2016-12-27 02:54:10'), 
('121', 'Odpowiedź ustna', 'Geografia', '5', '2016-10-23 20:22:46'), 
('121', 'Aktywność na lekcji', 'Chemia', '2', '2016-12-18 21:44:26'), 
('121', 'Aktywność na lekcji', 'Zajęcia Artystyczne', '1', '2016-10-07 06:04:34'), 
('121', 'Egzamin', 'Technika', '2', '2017-01-21 06:32:38'), 
('122', 'Praca dodatkowa', 'Język Angielski', '5', '2016-11-15 23:57:26'), 
('122', 'Zachowanie', 'Chemia', '1', '2016-12-15 21:46:27'), 
('122', 'Projekt', 'Technika', '1', '2016-11-07 14:38:28'), 
('122', 'Praca dodatkowa', 'Język Angielski', '2', '2016-11-16 17:56:37'), 
('122', 'Kartkówka', 'Wychowanie do Życia w Rodzinie', '5', '2016-10-16 18:38:02'), 
('122', 'Projekt', 'Chemia', '1', '2017-01-12 22:54:58'), 
('122', 'Odpowiedź ustna', 'Język Włoski', '5', '2016-12-24 13:52:40'), 
('122', 'Kartkówka', 'Matematyka', '1', '2016-10-23 11:31:52'), 
('122', 'Sprawdzian', 'Wychowanie do Życia w Rodzinie', '1', '2016-11-21 12:48:39'), 
('122', 'Odpowiedź ustna', 'Plastyka', '1', '2017-01-22 08:46:09'), 
('122', 'Praca dodatkowa', 'Język Hiszpański', '4', '2016-12-02 06:30:59'), 
('122', 'Zachowanie', 'Język Włoski', '6', '2016-11-07 15:36:17'), 
('122', 'Projekt', 'Geografia', '3', '2016-11-25 04:42:12'), 
('122', 'Sprawdzian', 'Język Angielski', '5', '2016-09-07 08:17:33'), 
('122', 'Odpowiedź ustna', 'Wychowanie do Życia w Rodzinie', '5', '2016-12-20 02:38:14'), 
('122', 'Odpowiedź ustna', 'Fizyka', '4', '2016-12-09 18:14:08'), 
('122', 'Kartkówka', 'Język Rosyjski', '3', '2017-01-14 17:04:17'), 
('122', 'Sprawdzian', 'Wiedza o Społeczeństwie', '2', '2016-12-07 18:10:31'), 
('122', 'Praca dodatkowa', 'Język Angielski', '3', '2016-12-28 00:32:06'), 
('122', 'Aktywność na lekcji', 'Język Rosyjski', '4', '2016-10-13 20:48:36'), 
('122', 'Kartkówka', 'Godzina Wychowawcza', '2', '2017-01-24 06:10:30'), 
('122', 'Egzamin', 'Zajęcia Artystyczne', '5', '2016-09-22 13:25:36'), 
('122', 'Kartkówka', 'Godzina Wychowawcza', '5', '2016-11-25 07:45:17'), 
('122', 'Praca dodatkowa', 'Zajęcia Artystyczne', '5', '2016-10-18 05:04:54'), 
('122', 'Zachowanie', 'Muzyka', '4', '2016-09-12 06:25:28'), 
('123', 'Kartkówka', 'Język Rosyjski', '3', '2016-12-19 20:55:49'), 
('123', 'Praca dodatkowa', 'Wychowanie do Życia w Rodzinie', '2', '2016-11-26 14:46:35'), 
('123', 'Egzamin', 'Religia', '5', '2016-10-05 16:30:58'), 
('123', 'Zachowanie', 'Muzyka', '4', '2016-11-12 07:11:35'), 
('123', 'Projekt', 'Chemia', '2', '2016-09-17 09:54:10'), 
('123', 'Zachowanie', 'Wychowanie Fizyczne', '4', '2016-10-20 05:49:33'), 
('123', 'Zachowanie', 'Godzina Wychowawcza', '4', '2017-01-01 14:03:07'), 
('123', 'Projekt', 'Język Hiszpański', '3', '2016-10-30 00:56:37'), 
('123', 'Projekt', 'Język Francuski', '1', '2016-10-19 22:06:02'), 
('123', 'Projekt', 'Technika', '4', '2016-12-01 13:56:54'), 
('123', 'Praca dodatkowa', 'Wychowanie do Życia w Rodzinie', '6', '2016-10-16 04:38:17'), 
('123', 'Odpowiedź ustna', 'Muzyka', '6', '2016-12-30 21:07:26'), 
('123', 'Aktywność na lekcji', 'Informatyka', '1', '2016-10-07 01:08:35'), 
('123', 'Praca dodatkowa', 'Język Hiszpański', '6', '2016-12-08 18:15:29'), 
('123', 'Egzamin', 'Technika', '1', '2016-10-09 11:50:33'), 
('123', 'Kartkówka', 'Informatyka', '6', '2016-11-11 00:06:44'), 
('123', 'Kartkówka', 'Fizyka', '1', '2017-01-15 03:26:36'), 
('123', 'Projekt', 'Matematyka', '2', '2017-01-30 05:54:12'), 
('123', 'Praca dodatkowa', 'Wiedza o Społeczeństwie', '3', '2017-01-27 14:46:59'), 
('123', 'Egzamin', 'Geografia', '1', '2017-01-17 10:17:41'), 
('123', 'Projekt', 'Matematyka', '5', '2017-01-20 18:53:49'), 
('123', 'Odpowiedź ustna', 'Plastyka', '5', '2016-10-11 22:50:26'), 
('123', 'Kartkówka', 'Informatyka', '5', '2017-01-20 09:31:13'), 
('123', 'Sprawdzian', 'Wychowanie do Życia w Rodzinie', '6', '2016-11-05 04:14:21'), 
('123', 'Odpowiedź ustna', 'Język Rosyjski', '4', '2016-09-16 13:07:02'), 
('124', 'Zachowanie', 'Język Hiszpański', '1', '2017-01-14 03:03:15'), 
('124', 'Projekt', 'Godzina Wychowawcza', '4', '2016-11-26 02:06:11'), 
('124', 'Sprawdzian', 'Muzyka', '1', '2016-09-22 04:00:26'), 
('124', 'Sprawdzian', 'Informatyka', '3', '2016-11-13 10:40:04'), 
('124', 'Projekt', 'Język Hiszpański', '5', '2016-09-07 01:01:57'), 
('124', 'Odpowiedź ustna', 'Informatyka', '3', '2016-11-28 05:16:21'), 
('124', 'Zachowanie', 'Wychowanie do Życia w Rodzinie', '2', '2016-12-29 09:17:25'), 
('124', 'Kartkówka', 'Język Włoski', '4', '2016-10-22 20:22:16'), 
('124', 'Egzamin', 'Język Hiszpański', '6', '2016-12-04 20:20:15'), 
('124', 'Aktywność na lekcji', 'Wiedza o Społeczeństwie', '5', '2016-10-22 22:39:15'), 
('124', 'Sprawdzian', 'Religia', '4', '2016-12-05 22:03:34'), 
('124', 'Kartkówka', 'Język Włoski', '6', '2016-11-06 22:03:27'), 
('124', 'Praca dodatkowa', 'Wychowanie do Życia w Rodzinie', '6', '2017-01-02 06:41:47'), 
('124', 'Praca dodatkowa', 'Informatyka', '6', '2016-09-20 08:44:11'), 
('124', 'Kartkówka', 'Plastyka', '3', '2016-10-07 00:23:11'), 
('124', 'Egzamin', 'Język Hiszpański', '2', '2016-10-25 14:37:22'), 
('124', 'Praca dodatkowa', 'Plastyka', '1', '2016-09-23 17:32:38'), 
('124', 'Sprawdzian', 'Chemia', '4', '2016-12-11 10:31:28'), 
('124', 'Odpowiedź ustna', 'Plastyka', '4', '2016-09-29 18:26:30'), 
('124', 'Praca dodatkowa', 'Fizyka', '4', '2016-11-07 04:46:49'), 
('124', 'Zachowanie', 'Język Francuski', '4', '2016-12-03 03:02:17'), 
('124', 'Zachowanie', 'Język Włoski', '4', '2016-12-21 09:56:53'), 
('124', 'Zachowanie', 'Godzina Wychowawcza', '5', '2016-12-10 14:21:00'), 
('124', 'Kartkówka', 'Fizyka', '4', '2016-12-23 06:44:15'), 
('124', 'Projekt', 'Język Francuski', '2', '2017-01-14 19:21:39'), 
('124', 'Projekt', 'Język Rosyjski', '3', '2016-11-25 14:23:09'), 
('124', 'Kartkówka', 'Wychowanie Fizyczne', '5', '2016-12-03 17:08:27'), 
('125', 'Aktywność na lekcji', 'Język Rosyjski', '4', '2016-09-11 02:30:24'), 
('125', 'Kartkówka', 'Plastyka', '2', '2017-01-29 16:26:24'), 
('125', 'Praca dodatkowa', 'Wychowanie do Życia w Rodzinie', '2', '2016-09-11 14:42:51'), 
('125', 'Projekt', 'Chemia', '2', '2016-10-31 15:39:57'), 
('125', 'Egzamin', 'Matematyka', '6', '2016-11-21 17:14:57'), 
('125', 'Kartkówka', 'Język Polski', '6', '2016-10-24 08:07:09'), 
('125', 'Egzamin', 'Matematyka', '4', '2016-11-15 12:29:56'), 
('125', 'Kartkówka', 'Matematyka', '5', '2016-12-18 16:52:21'), 
('125', 'Kartkówka', 'Muzyka', '6', '2017-01-09 01:38:43'), 
('125', 'Projekt', 'Fizyka', '5', '2016-09-10 03:07:53'), 
('125', 'Egzamin', 'Matematyka', '1', '2016-11-16 11:46:49'), 
('125', 'Aktywność na lekcji', 'Chemia', '2', '2016-09-28 01:43:21'), 
('125', 'Praca dodatkowa', 'Geografia', '2', '2016-10-02 11:13:19'), 
('125', 'Projekt', 'Religia', '6', '2016-11-14 04:15:10'), 
('125', 'Zachowanie', 'Język Hiszpański', '1', '2017-01-03 22:06:07'), 
('125', 'Projekt', 'Wychowanie Fizyczne', '5', '2016-12-25 11:07:36'), 
('125', 'Zachowanie', 'Godzina Wychowawcza', '5', '2016-12-23 03:52:05'), 
('125', 'Zachowanie', 'Zajęcia Artystyczne', '6', '2016-11-19 02:29:56'), 
('125', 'Sprawdzian', 'Plastyka', '4', '2016-10-07 15:47:34'), 
('125', 'Sprawdzian', 'Wychowanie do Życia w Rodzinie', '4', '2016-11-19 16:46:56'), 
('125', 'Praca dodatkowa', 'Język Rosyjski', '3', '2016-12-31 06:20:42'), 
('125', 'Aktywność na lekcji', 'Wiedza o Społeczeństwie', '2', '2016-11-03 08:44:29'), 
('125', 'Kartkówka', 'Biologia', '6', '2016-10-02 21:03:00'), 
('126', 'Zachowanie', 'Plastyka', '5', '2017-01-06 22:38:38'), 
('126', 'Praca dodatkowa', 'Wychowanie do Życia w Rodzinie', '4', '2017-01-04 07:09:31'), 
('126', 'Kartkówka', 'Zajęcia Artystyczne', '2', '2016-10-15 21:13:01'), 
('126', 'Kartkówka', 'Wychowanie Fizyczne', '1', '2017-01-03 17:09:01'), 
('126', 'Projekt', 'Chemia', '5', '2016-10-01 15:34:50'), 
('126', 'Sprawdzian', 'Język Włoski', '6', '2016-10-08 07:36:13'), 
('126', 'Praca dodatkowa', 'Język Włoski', '5', '2016-11-29 03:49:39'), 
('126', 'Odpowiedź ustna', 'Język Polski', '4', '2016-12-23 02:06:21'), 
('126', 'Praca dodatkowa', 'Język Francuski', '1', '2016-11-27 09:42:30'), 
('126', 'Kartkówka', 'Język Francuski', '3', '2016-09-09 10:09:53'), 
('126', 'Egzamin', 'Wychowanie do Życia w Rodzinie', '5', '2016-11-11 21:30:55'), 
('126', 'Praca dodatkowa', 'Język Rosyjski', '3', '2016-11-23 10:13:35'), 
